unit,x_feature,y_feature,output,slice_type,fixed_inputs,mae,rmse,r2,mape,n_leaves,n_zero_coefs,n_total_coefs,include_all_heat_duties
ureaF_unit,Fnh3,Fco2,pure_urea_kgph,full_model,{},0.01761258933153091,0.028443700437007922,0.9996994499950171,3.4903284344872274,16,0,32,True
ureaF_unit,Fnh3,Fco2,product_urea_wtfrac,full_model,{},0.0010897993220076896,0.0020800803877843222,0.9996794952071273,3.132643809452014,16,0,32,True
ureaF_unit,Fnh3,Fco2,electric_kwhph,full_model,{},0.14707601034610693,0.24122478203908243,0.9989131030805143,0.09710865917060939,16,0,32,True
