run_index,total_runs,status,config_id,layers,num_hidden_layers,max_epochs,learning_rate,batch_size,patience,min_delta,l2_reg,seed,train_rows,val_rows,test_rows,duration_sec,epochs_ran,best_train_loss,best_val_loss,train_mae,train_rmse,train_mape_pct,train_r2,val_mae,val_rmse,val_mape_pct,val_r2,test_mae,test_rmse,test_mape_pct,test_r2,trainable_parameters,error_message
1,12,ok,"layers=3,3|epochs=400|lr=0.001|batch=128|patience=10|min_delta=1e-05|l2=0|seed=15","3,3",2,400,0.001,128,10,1e-05,0.0,15,673,145,145,22.962368000000424,400,0.0343143492937088,0.04239041730761528,0.6960750818252563,1.0686023721738942,0.4592214245349169,0.9657238125801086,0.7568656206130981,1.1883748997609707,0.4985257051885128,0.9588900208473206,0.6910080313682556,1.0495700023834804,0.4545446950942278,0.9662191271781921,25,
2,12,ok,"layers=3,3|epochs=400|lr=0.001|batch=128|patience=10|min_delta=1e-05|l2=1e-06|seed=15","3,3",2,400,0.001,128,10,1e-05,1e-06,15,673,145,145,22.02387490000001,400,0.03432035073637962,0.042400162667036057,0.6961120367050171,1.0686174321635655,0.4592472221702337,0.9657227993011475,0.7568978071212769,1.1884151746933418,0.4985483828932047,0.9588872194290161,0.6909843683242798,1.0495368367418847,0.4545291420072317,0.966221272945404,25,
3,12,ok,"layers=3,3|epochs=400|lr=0.001|batch=128|patience=25|min_delta=1e-05|l2=0|seed=15","3,3",2,400,0.001,128,25,1e-05,0.0,15,673,145,145,21.106207200000426,400,0.0343143492937088,0.04239041730761528,0.6960750818252563,1.0686023721738942,0.4592214245349169,0.9657238125801086,0.7568656206130981,1.1883748997609707,0.4985257051885128,0.9588900208473206,0.6910080313682556,1.0495700023834804,0.4545446950942278,0.9662191271781921,25,
4,12,ok,"layers=3,3|epochs=400|lr=0.001|batch=128|patience=25|min_delta=1e-05|l2=1e-06|seed=15","3,3",2,400,0.001,128,25,1e-05,1e-06,15,673,145,145,21.239005100000213,400,0.03432035073637962,0.042400162667036057,0.6961120367050171,1.0686174321635655,0.4592472221702337,0.9657227993011475,0.7568978071212769,1.1884151746933418,0.4985483828932047,0.9588872194290161,0.6909843683242798,1.0495368367418847,0.4545291420072317,0.966221272945404,25,
5,12,ok,"layers=3,3|epochs=400|lr=0.001|batch=256|patience=10|min_delta=1e-05|l2=0|seed=15","3,3",2,400,0.001,256,10,1e-05,0.0,15,673,145,145,19.89146450000044,400,0.04530414938926697,0.056844521313905716,0.8963735699653625,1.2280714630028182,0.5858744960278273,0.9547302722930908,0.9993777275085449,1.3761452327144934,0.6513609085232019,0.9448724389076233,0.8977593779563904,1.218841793809388,0.5851901136338711,0.9544443488121033,25,
6,12,ok,"layers=3,3|epochs=400|lr=0.001|batch=256|patience=10|min_delta=1e-05|l2=1e-06|seed=15","3,3",2,400,0.001,256,10,1e-05,1e-06,15,673,145,145,19.99947710000015,400,0.04530862346291542,0.0568508617579937,0.896337628364563,1.228044331548753,0.585851026698947,0.9547322988510132,0.9993543028831482,1.3761420275667045,0.6513455882668495,0.9448726773262024,0.8977380990982056,1.2188148481282726,0.5851755384355783,0.9544463157653809,25,
7,12,ok,"layers=3,3|epochs=400|lr=0.001|batch=256|patience=25|min_delta=1e-05|l2=0|seed=15","3,3",2,400,0.001,256,25,1e-05,0.0,15,673,145,145,19.739810200000647,400,0.04530414938926697,0.056844521313905716,0.8963735699653625,1.2280714630028182,0.5858744960278273,0.9547302722930908,0.9993777275085449,1.3761452327144934,0.6513609085232019,0.9448724389076233,0.8977593779563904,1.218841793809388,0.5851901136338711,0.9544443488121033,25,
8,12,ok,"layers=3,3|epochs=400|lr=0.001|batch=256|patience=25|min_delta=1e-05|l2=1e-06|seed=15","3,3",2,400,0.001,256,25,1e-05,1e-06,15,673,145,145,20.274633500001073,400,0.04530862346291542,0.0568508617579937,0.896337628364563,1.228044331548753,0.585851026698947,0.9547322988510132,0.9993543028831482,1.3761420275667045,0.6513455882668495,0.9448726773262024,0.8977380990982056,1.2188148481282726,0.5851755384355783,0.9544463157653809,25,
9,12,ok,"layers=3,3|epochs=400|lr=0.002|batch=128|patience=10|min_delta=1e-05|l2=0|seed=15","3,3",2,400,0.002,128,10,1e-05,0.0,15,673,145,145,20.822305300000153,400,0.027247805148363113,0.03251246362924576,0.5684558749198914,0.9521898779042833,0.379507290199399,0.9727850556373596,0.5837835669517517,1.0407461422352304,0.39041165728121996,0.9684695601463318,0.5453670024871826,0.914491406095325,0.36323226522654295,0.9743547439575195,25,
10,12,ok,"layers=3,3|epochs=400|lr=0.002|batch=128|patience=10|min_delta=1e-05|l2=1e-06|seed=15","3,3",2,400,0.002,128,10,1e-05,1e-06,15,673,145,145,22.872837699998854,400,0.027290035039186478,0.03252802789211273,0.5698991417884827,0.9528493013465771,0.38044764660298824,0.9727473258972168,0.584048867225647,1.0408781436796188,0.3905917750671506,0.9684615731239319,0.5462509393692017,0.9155994763250758,0.36383792757987976,0.9742925763130188,25,
