unit,x_feature,y_feature,output,slice_type,fixed_inputs,mae,rmse,r2,mape,n_leaves,n_zero_coefs,n_total_coefs
ammoniaF_unit,Ft,Fh2,ammonia_kgph,full_reduced_model,{},0.09741441517237993,0.22578654124441455,0.9901797895279135,0.7870407228730842,10,3,20
ammoniaF_unit,Ft,Fh2,water_kgph,full_reduced_model,{},12.216985244145304,60.9405341735383,0.9729657063520822,0.6956538223268728,16,3,32
ammoniaF_unit,Ft,Fh2,electric_kwhph,full_reduced_model,{},33.706666635503424,147.0186136215788,0.962046255449687,5.0915929137328275,15,0,30
