case_id,Fnh3,Fco2,Ft_UREA-OUT,QB3,QB6,QB27,QB10_hot,QB10_cold,QB7_reb,QB7_cond,QB25_reb,QB28_reb,QB28_cond,QR01,Wurea,run_ok,error_message,elapsed_sec,completed_at
23,1.0,275.08333333333337,10.3593944,-0.00137613641,0.000228272972,-0.00573107641,1.0,1.0,0.00500449933,-0.0187918733,0.0119422948,0.0408374636,0.0434883684,-0.00384841025,0.0479851917,1,,2.459,2026-04-14T15:15:20
24,1.0,287.5416666666667,10.3145822,-0.00137608314,0.000228272972,-0.00480055416,1.0,1.0,0.00523223969,-0.0196451671,0.0119422948,0.0406553083,0.0432943921,-0.00372119223,0.048172421,1,,2.676,2026-04-14T15:15:23
25,1.0,300.0,10.2680656,-0.00137471781,0.000228272972,-0.00386609433,1.0,1.0,0.00545865368,-0.020498263,0.0119422948,0.0404678331,0.0430947499,-0.00358929974,0.0483135269,1,,3.592,2026-04-14T15:15:26
26,1.7916666666666665,1.0,10.5852778,-0.00479570477,0.000408989076,-0.016070414,1.0,1.0,0.000146559078,-0.000129346665,0.0119422948,0.0427843904,0.0455614456,3.84841854e-05,0.012944371,1,,4.894,2026-04-14T15:15:31
27,1.7916666666666665,13.458333333333334,11.1169747,-0.00200338993,0.000408989076,-0.0240163992,1.0,1.0,0.000809434353,-0.00137013292,0.0119422948,0.044308881,0.0471849101,-0.00350567202,0.0326717155,1,,4.267,2026-04-14T15:15:36
28,1.7916666666666665,25.916666666666668,11.4586664,-0.00205433214,0.000408989076,-0.0223396078,1.0,1.0,0.000532897176,-0.00167652425,0.0119422948,0.0441772301,0.0470459092,-0.00843358617,0.0784108405,1,,4.816,2026-04-14T15:15:40
29,1.7916666666666665,38.375,11.4148143,-0.00205112355,0.000408989076,-0.021316495,1.0,1.0,0.00073898808,-0.00253000264,0.0119422948,0.0440029511,0.0468603204,-0.00841921888,0.0785710654,1,,3.325,2026-04-14T15:15:44
30,1.7916666666666665,50.833333333333336,11.3716487,-0.00204968777,0.000408989076,-0.0202987557,1.0,1.0,0.000966323721,-0.0033834447,0.0119422948,0.043828,0.0466740204,-0.00839658813,0.0788348528,1,,2.669,2026-04-14T15:15:46
31,1.7916666666666665,63.29166666666667,11.3263942,-0.00204548104,0.000408989076,-0.0193071229,1.0,1.0,0.00119552836,-0.00423673879,0.0119422948,0.0436508469,0.0464853674,-0.00835288405,0.0789195877,1,,2.751,2026-04-14T15:15:49
32,1.7916666666666665,75.75,11.2819659,-0.00204163072,0.000408989076,-0.0183217626,1.0,1.0,0.00142630817,-0.0050901028,0.0119422948,0.0434765227,0.0462997276,-0.00830039195,0.0790160148,1,,2.73,2026-04-14T15:15:52
33,1.7916666666666665,88.20833333333334,11.2373811,-0.00203912008,0.000408989076,-0.0173476423,1.0,1.0,0.00165712888,-0.00594309693,0.0119422948,0.0432985379,0.0461101936,-0.00824414199,0.0792086436,1,,3.153,2026-04-14T15:15:55
34,1.7916666666666665,100.66666666666667,11.1940587,-0.00203758128,0.000408989076,-0.0163718425,1.0,1.0,0.00188841799,-0.00679597467,0.0119422948,0.0431236885,0.045924001,-0.008183737,0.079456964,1,,2.456,2026-04-14T15:15:58
35,1.7916666666666665,113.125,11.1499555,-0.00203504391,0.000408989076,-0.0154083927,1.0,1.0,0.00211863235,-0.0076488847,0.0119422948,0.0429478441,0.0457367462,-0.00811321512,0.0796438939,1,,2.483,2026-04-14T15:16:00
36,1.7916666666666665,125.58333333333334,11.1057626,-0.0020321315,0.000408989076,-0.0144523213,1.0,1.0,0.00234755597,-0.00850260974,0.0119422948,0.0427724596,0.04554998,-0.00803603614,0.0798068928,1,,2.729,2026-04-14T15:16:03
37,1.7916666666666665,138.04166666666669,11.0607547,-0.00202874681,0.000408989076,-0.013499216,1.0,1.0,0.00257932041,-0.0093558396,0.0119422948,0.0425947014,0.0453606848,-0.00795150723,0.0799469254,1,,2.811,2026-04-14T15:16:06
38,1.7916666666666665,150.5,11.0175148,-0.00202669369,0.000408989076,-0.012550591,1.0,1.0,0.00280874432,-0.0102093274,0.0119422948,0.0424213009,0.0451760338,-0.00786749471,0.0801661098,1,,3.243,2026-04-14T15:16:09
39,1.7916666666666665,162.95833333333334,10.9732255,-0.0020235994,0.000408989076,-0.0116084833,1.0,1.0,0.00303610991,-0.011061828,0.0119422948,0.0422458277,0.0449891728,-0.00777549789,0.0803241322,1,,2.604,2026-04-14T15:16:11
40,1.7916666666666665,175.41666666666669,10.9299702,-0.00202197122,0.000408989076,-0.0106638096,1.0,1.0,0.00326518091,-0.0119154793,0.0119422948,0.0420712805,0.0448033023,-0.00768494635,0.0805814605,1,,2.71,2026-04-14T15:16:14
41,1.7916666666666665,187.875,10.8863071,-0.00201931913,0.000408989076,-0.00973595624,1.0,1.0,0.00349289312,-0.0127686088,0.0119422948,0.0418973237,0.0446180575,-0.00758754256,0.080771239,1,,3.09,2026-04-14T15:16:17
42,1.7916666666666665,200.33333333333334,10.8415727,-0.00201592638,0.000408989076,-0.00879432944,1.0,1.0,0.00372059605,-0.0136216145,0.0119422948,0.0417205088,0.0444297671,-0.00748322454,0.0809216404,1,,2.636,2026-04-14T15:16:20
43,1.7916666666666665,212.79166666666669,10.8030196,-0.00201237537,0.000408989076,-0.00788539245,1.0,1.0,0.00394802336,-0.0144745878,0.0119422948,0.0415700636,0.0442695552,-0.00737416959,0.0809893335,1,,2.685,2026-04-14T15:16:23
44,1.7916666666666665,225.25,10.7530681,-0.00200969275,0.000408989076,-0.00694452085,1.0,1.0,0.00417564189,-0.0153275766,0.0119422948,0.0413695107,0.0440559908,-0.00726966753,0.0812613575,1,,2.619,2026-04-14T15:16:25
45,1.7916666666666665,237.70833333333334,10.7117863,-0.00200938534,0.000408989076,-0.00600360823,1.0,1.0,0.00440483673,-0.0161814034,0.0119422948,0.0411999165,0.0438753988,-0.00717040782,0.0816141294,1,,2.945,2026-04-14T15:16:28
46,1.7916666666666665,250.16666666666669,10.6678624,-0.00200601324,0.000408989076,-0.00508539031,1.0,1.0,0.00463168707,-0.0170349151,0.0119422948,0.0410262479,0.0436904592,-0.00705662111,0.081769561,1,,2.665,2026-04-14T15:16:31
47,1.7916666666666665,262.625,10.6294913,-0.0020072468,0.000408989076,-0.00415012302,1.0,1.0,0.0048603883,-0.0178884124,0.0119422948,0.0408651973,0.0435189697,-0.00695749976,0.0822144972,1,,2.817,2026-04-14T15:16:34
48,1.7916666666666665,275.08333333333337,10.5823226,-0.00200277311,0.000408989076,-0.00323003049,1.0,1.0,0.00508180334,-0.0187409223,0.0119422948,0.0406802924,0.0433220623,-0.00683622532,0.0823326334,1,,2.977,2026-04-14T15:16:37
49,1.7916666666666665,287.5416666666667,10.5382383,-0.0019994113,0.000408989076,-0.00231443145,1.0,1.0,0.00531310654,-0.0195939662,0.0119422948,0.0405057491,0.0431361916,-0.00671599969,0.0825015574,1,,2.937,2026-04-14T15:16:40
50,1.7916666666666665,300.0,10.495173,-0.00199748046,0.000408989076,-0.00138886564,1.0,1.0,0.00554057212,-0.0204472469,0.0119422948,0.040332096,0.0429512734,-0.0065997398,0.0827730355,1,,2.792,2026-04-14T15:16:42
51,2.583333333333333,1.0,10.4244106,-0.00578952651,0.000589705179,-0.0128626008,1.0,1.0,0.000286320525,-0.000286360008,0.0119422948,0.04217003,0.0449072156,4.5401329e-05,0.0117367114,1,,4.576,2026-04-14T15:16:47
52,2.583333333333333,13.458333333333334,11.0386494,-0.00249338327,0.000589705179,-0.0223988698,1.0,1.0,0.00104588874,-0.00160355742,0.0119422948,0.0439702391,0.0468242947,-0.00299919078,0.0335132755,1,,4.303,2026-04-14T15:16:51
53,2.583333333333333,25.916666666666668,11.6659694,-0.00244709393,0.000589705179,-0.0205855947,1.0,1.0,0.000628602295,-0.00162004608,0.0119422948,0.043913953,0.0467673861,-0.0101623702,0.110348067,1,,5.001,2026-04-14T15:16:56
54,2.583333333333333,38.375,11.6234486,-0.00244244438,0.000589705179,-0.0195624137,1.0,1.0,0.000789611076,-0.00247321916,0.0119422948,0.0437482853,0.0465909659,-0.0101733746,0.110517078,1,,3.288,2026-04-14T15:16:59
55,2.583333333333333,50.833333333333336,11.5809957,-0.00243892397,0.000589705179,-0.0185423305,1.0,1.0,0.00101230087,-0.00332670609,0.0119422948,0.0435794655,0.0464111962,-0.0101726098,0.110790575,1,,3.088,2026-04-14T15:17:03
56,2.583333333333333,63.29166666666667,11.5364764,-0.00243435519,0.000589705179,-0.0175458608,1.0,1.0,0.0012433625,-0.00418050713,0.0119422948,0.0434061028,0.0462265813,-0.0101543106,0.110967899,1,,3.125,2026-04-14T15:17:06
57,2.583333333333333,75.75,11.4941276,-0.0024297616,0.000589705179,-0.0165658556,1.0,1.0,0.00147667396,-0.00503372452,0.0119422948,0.0432427085,0.0460525787,-0.0101244891,0.111091604,1,,3.532,2026-04-14T15:17:09
58,2.583333333333333,88.20833333333334,11.4559598,-0.00242968075,0.000589705179,-0.0155639965,1.0,1.0,0.00171204799,-0.00588688877,0.0119422948,0.0430804641,0.045879833,-0.0100999166,0.111661602,1,,2.747,2026-04-14T15:17:12
59,2.583333333333333,100.66666666666667,11.4121482,-0.00242436582,0.000589705179,-0.0146117417,1.0,1.0,0.00194589906,-0.00674051119,0.0119422948,0.0429137163,0.0457022539,-0.0100472142,0.111723504,1,,2.715,2026-04-14T15:17:15
60,2.583333333333333,113.125,11.3680673,-0.00241941597,0.000589705179,-0.0136549073,1.0,1.0,0.00217963371,-0.00759387174,0.0119422948,0.0427443293,0.045521868,-0.00998897817,0.111835394,1,,2.823,2026-04-14T15:17:18
61,2.583333333333333,125.58333333333334,11.3256648,-0.00241568406,0.000589705179,-0.0127061424,1.0,1.0,0.00241274946,-0.00844640532,0.0119422948,0.0425776577,0.045344382,-0.00992878555,0.112059387,1,,3.262,2026-04-14T15:17:21
