case_id,Fnh3,Fco2
1,5.0,0.0
2,5.0,2.0833333333333335
3,5.0,4.166666666666667
4,5.0,6.25
5,5.0,8.333333333333334
6,5.0,10.416666666666668
7,5.0,12.5
8,5.0,14.583333333333334
9,5.0,16.666666666666668
10,5.0,18.75
11,5.0,20.833333333333336
12,5.0,22.916666666666668
13,5.0,25.0
14,5.0,27.083333333333336
15,5.0,29.166666666666668
16,5.0,31.250000000000004
17,5.0,33.333333333333336
18,5.0,35.41666666666667
19,5.0,37.5
20,5.0,39.583333333333336
21,5.0,41.66666666666667
22,5.0,43.75
23,5.0,45.833333333333336
24,5.0,47.91666666666667
25,5.0,50.0
26,5.291666666666667,0.0
27,5.291666666666667,2.0833333333333335
28,5.291666666666667,4.166666666666667
29,5.291666666666667,6.25
30,5.291666666666667,8.333333333333334
31,5.291666666666667,10.416666666666668
32,5.291666666666667,12.5
33,5.291666666666667,14.583333333333334
34,5.291666666666667,16.666666666666668
35,5.291666666666667,18.75
36,5.291666666666667,20.833333333333336
37,5.291666666666667,22.916666666666668
38,5.291666666666667,25.0
39,5.291666666666667,27.083333333333336
40,5.291666666666667,29.166666666666668
41,5.291666666666667,31.250000000000004
42,5.291666666666667,33.333333333333336
43,5.291666666666667,35.41666666666667
44,5.291666666666667,37.5
45,5.291666666666667,39.583333333333336
46,5.291666666666667,41.66666666666667
47,5.291666666666667,43.75
48,5.291666666666667,45.833333333333336
49,5.291666666666667,47.91666666666667
50,5.291666666666667,50.0
51,5.583333333333333,0.0
52,5.583333333333333,2.0833333333333335
53,5.583333333333333,4.166666666666667
54,5.583333333333333,6.25
55,5.583333333333333,8.333333333333334
56,5.583333333333333,10.416666666666668
57,5.583333333333333,12.5
58,5.583333333333333,14.583333333333334
59,5.583333333333333,16.666666666666668
60,5.583333333333333,18.75
61,5.583333333333333,20.833333333333336
62,5.583333333333333,22.916666666666668
63,5.583333333333333,25.0
64,5.583333333333333,27.083333333333336
65,5.583333333333333,29.166666666666668
66,5.583333333333333,31.250000000000004
67,5.583333333333333,33.333333333333336
68,5.583333333333333,35.41666666666667
69,5.583333333333333,37.5
70,5.583333333333333,39.583333333333336
71,5.583333333333333,41.66666666666667
72,5.583333333333333,43.75
73,5.583333333333333,45.833333333333336
74,5.583333333333333,47.91666666666667
75,5.583333333333333,50.0
76,5.875,0.0
77,5.875,2.0833333333333335
78,5.875,4.166666666666667
79,5.875,6.25
80,5.875,8.333333333333334
81,5.875,10.416666666666668
82,5.875,12.5
83,5.875,14.583333333333334
84,5.875,16.666666666666668
85,5.875,18.75
86,5.875,20.833333333333336
87,5.875,22.916666666666668
88,5.875,25.0
89,5.875,27.083333333333336
90,5.875,29.166666666666668
91,5.875,31.250000000000004
92,5.875,33.333333333333336
93,5.875,35.41666666666667
94,5.875,37.5
95,5.875,39.583333333333336
96,5.875,41.66666666666667
97,5.875,43.75
98,5.875,45.833333333333336
99,5.875,47.91666666666667
100,5.875,50.0
101,6.166666666666667,0.0
102,6.166666666666667,2.0833333333333335
103,6.166666666666667,4.166666666666667
104,6.166666666666667,6.25
105,6.166666666666667,8.333333333333334
106,6.166666666666667,10.416666666666668
107,6.166666666666667,12.5
108,6.166666666666667,14.583333333333334
109,6.166666666666667,16.666666666666668
110,6.166666666666667,18.75
111,6.166666666666667,20.833333333333336
112,6.166666666666667,22.916666666666668
113,6.166666666666667,25.0
114,6.166666666666667,27.083333333333336
115,6.166666666666667,29.166666666666668
116,6.166666666666667,31.250000000000004
117,6.166666666666667,33.333333333333336
118,6.166666666666667,35.41666666666667
119,6.166666666666667,37.5
120,6.166666666666667,39.583333333333336
121,6.166666666666667,41.66666666666667
122,6.166666666666667,43.75
123,6.166666666666667,45.833333333333336
124,6.166666666666667,47.91666666666667
125,6.166666666666667,50.0
126,6.458333333333334,0.0
127,6.458333333333334,2.0833333333333335
128,6.458333333333334,4.166666666666667
129,6.458333333333334,6.25
130,6.458333333333334,8.333333333333334
131,6.458333333333334,10.416666666666668
132,6.458333333333334,12.5
133,6.458333333333334,14.583333333333334
134,6.458333333333334,16.666666666666668
135,6.458333333333334,18.75
136,6.458333333333334,20.833333333333336
137,6.458333333333334,22.916666666666668
138,6.458333333333334,25.0
139,6.458333333333334,27.083333333333336
140,6.458333333333334,29.166666666666668
141,6.458333333333334,31.250000000000004
142,6.458333333333334,33.333333333333336
143,6.458333333333334,35.41666666666667
144,6.458333333333334,37.5
145,6.458333333333334,39.583333333333336
146,6.458333333333334,41.66666666666667
147,6.458333333333334,43.75
148,6.458333333333334,45.833333333333336
149,6.458333333333334,47.91666666666667
150,6.458333333333334,50.0
151,6.75,0.0
152,6.75,2.0833333333333335
153,6.75,4.166666666666667
154,6.75,6.25
155,6.75,8.333333333333334
156,6.75,10.416666666666668
157,6.75,12.5
158,6.75,14.583333333333334
159,6.75,16.666666666666668
160,6.75,18.75
161,6.75,20.833333333333336
162,6.75,22.916666666666668
163,6.75,25.0
164,6.75,27.083333333333336
165,6.75,29.166666666666668
166,6.75,31.250000000000004
167,6.75,33.333333333333336
168,6.75,35.41666666666667
169,6.75,37.5
170,6.75,39.583333333333336
171,6.75,41.66666666666667
172,6.75,43.75
173,6.75,45.833333333333336
174,6.75,47.91666666666667
175,6.75,50.0
176,7.041666666666667,0.0
177,7.041666666666667,2.0833333333333335
178,7.041666666666667,4.166666666666667
179,7.041666666666667,6.25
180,7.041666666666667,8.333333333333334
181,7.041666666666667,10.416666666666668
182,7.041666666666667,12.5
183,7.041666666666667,14.583333333333334
184,7.041666666666667,16.666666666666668
185,7.041666666666667,18.75
186,7.041666666666667,20.833333333333336
187,7.041666666666667,22.916666666666668
188,7.041666666666667,25.0
189,7.041666666666667,27.083333333333336
190,7.041666666666667,29.166666666666668
191,7.041666666666667,31.250000000000004
192,7.041666666666667,33.333333333333336
193,7.041666666666667,35.41666666666667
194,7.041666666666667,37.5
195,7.041666666666667,39.583333333333336
196,7.041666666666667,41.66666666666667
197,7.041666666666667,43.75
198,7.041666666666667,45.833333333333336
199,7.041666666666667,47.91666666666667
200,7.041666666666667,50.0
201,7.333333333333334,0.0
202,7.333333333333334,2.0833333333333335
203,7.333333333333334,4.166666666666667
204,7.333333333333334,6.25
205,7.333333333333334,8.333333333333334
206,7.333333333333334,10.416666666666668
207,7.333333333333334,12.5
208,7.333333333333334,14.583333333333334
209,7.333333333333334,16.666666666666668
210,7.333333333333334,18.75
211,7.333333333333334,20.833333333333336
212,7.333333333333334,22.916666666666668
213,7.333333333333334,25.0
214,7.333333333333334,27.083333333333336
215,7.333333333333334,29.166666666666668
216,7.333333333333334,31.250000000000004
217,7.333333333333334,33.333333333333336
218,7.333333333333334,35.41666666666667
219,7.333333333333334,37.5
220,7.333333333333334,39.583333333333336
221,7.333333333333334,41.66666666666667
222,7.333333333333334,43.75
223,7.333333333333334,45.833333333333336
224,7.333333333333334,47.91666666666667
225,7.333333333333334,50.0
226,7.625,0.0
227,7.625,2.0833333333333335
228,7.625,4.166666666666667
229,7.625,6.25
230,7.625,8.333333333333334
231,7.625,10.416666666666668
232,7.625,12.5
233,7.625,14.583333333333334
234,7.625,16.666666666666668
235,7.625,18.75
236,7.625,20.833333333333336
237,7.625,22.916666666666668
238,7.625,25.0
239,7.625,27.083333333333336
240,7.625,29.166666666666668
