unit,output,mae,mape,n_leaves,train_time_s
nitrate_unit,hydrous_ammonia_kgph,0.7291087949086443,0.26286477655742174,84,1.6574225425720215
nitrate_unit,nitrate_conversion,0.006496847717897491,0.9174086588499133,84,0.6491799354553223
nitrate_unit,electric_kwhph,5.706069731249559,2.12471581123844,84,0.7509431838989258
ammonia_stripper_unit,anhydrous_ammonia_kgph,0.20175669655267314,0.07173955091890999,86,0.7315270900726318
ammonia_stripper_unit,nh3_recovery,0.011813608662153237,1.326039750735021,88,0.7026586532592773
ammonia_stripper_unit,stripper_duty_kwhph,31.895458038715887,0.47010546972563894,88,0.9060454368591309
urea_unit,urea_kgph,3.360928749327303,0.6138905363136793,87,0.7876062393188477
urea_unit,product_urea_wtfrac,0.006129003543404394,0.8114281578131735,90,0.8216021060943604
urea_unit,co2_conversion,0.013690269740221543,2.508470738348474,90,0.7430620193481445
